,Datetime,Likes_Count,retweet_Count,Tweet Id,Text,Username
0,2021-05-01 11:05:50+00:00,1,0,1388449579629268992,I'll personally never #VoteConservative because they're VERY anti-LGBTQ+. Keep this in mind. If you say you value the rights of your LGBTQ+ friends then you won't vote Conservative because they don't care and by voting for them you're showing you don't either.,MrCellophane121
1,2021-05-01 11:05:50+00:00,2,0,1388449578584842240,"No fancy rhetoric or anything, just look at the corruption, lies and mishandling of both Brexit and COVID and don't #VoteConservative.",MrCellophane121
2,2021-05-01 09:28:18+00:00,1,0,1388425033509490691,@siverback69 Might have something to do with them being given loads of money and power for not doing very much which makes them believe they are above everybody else and can do whatever they want to whoever they want.,MrCellophane121
3,2021-05-01 09:23:03+00:00,1,0,1388423714606288903,@MirrorPolitics Just gonna say this isn't anything surprising. Most people with money and fame believe themselves to be above helping others. They're all just dragons who are out to hoard the money and help only themselves.,MrCellophane121
4,2021-04-30 22:14:22+00:00,0,0,1388255431391318020,"@DanPriceSeattle I struggle to live in this world, because I just can't comprehend why living has to be so unfair just because of the circumstance of your birth. I really can't understand those people who just shrug and say ""That's just life"" and go about their day.",MrCellophane121
5,2021-04-30 22:00:25+00:00,1,0,1388251922168156165,"@baddest_melanin I'm in the same situation I've been for the last six years. I've tried to make life better but trust me, it's just not happening. It's like the world looked at me and was like ""Nope, you're a mistake, you shouldn't be here.""",MrCellophane121
6,2021-04-30 21:16:39+00:00,2,0,1388240907292512258,"With the whole Noel Clarke thing and now people saying cancel John Barrowman.

I'm up for that too.

Let's just cancel all celebrities because nobody should have that much money and power, especially not for doing so little.",MrCellophane121
7,2021-04-30 21:12:23+00:00,0,0,1388239836440670208,"Don't get me wrong, she's entirely correct about The Royals, but celebs aren't far off the same treatment, they just have to actually do something (although not a lot) for their money (whereas Royals don't).",MrCellophane121
8,2021-04-30 21:11:32+00:00,2,0,1388239619431571461,"Stacey Solomon is completely right in her views about the Royal Family, but she herself has a lot more money than her job should pay (given it's necessity and difficulty) and more than she needs.

She doesn't need a couple of million to live on, nobody does really.",MrCellophane121
9,2021-04-30 09:57:44+00:00,1,0,1388070052499439618,"#ThisMorning if you're going to talk about #mentalhealth then you need somebody to explain to you how woefully underfunded and poor the NHS service is.

Not everybody can afford private and so the NHS is the best option, and honestly it's awful.",MrCellophane121
10,2021-04-30 09:41:03+00:00,0,0,1388065854076735488,"Not to mention we now have OnlyFans and stuff which literally pays you for looking beautiful. You don't have to have brains or a personality, people will pay just to look at you.",MrCellophane121
11,2021-04-30 09:40:29+00:00,0,0,1388065712292474880,"I've had plenty of people (usually gay men) tell me to ""love yourself the way you are"" and then you go on their Twitter feed and it's all just RTs of Twinks or Hunks.",MrCellophane121
12,2021-04-30 09:39:29+00:00,3,0,1388065461070336003,"#ThisMorning this is what happens when it's easier to get plastic surgery than #mentalhealth help.

Not to mention all the celebrities, companies (+ fans on Twitter) who push the ""ideal body"" by worshipping certain people just because they look a certain way.",MrCellophane121
13,2021-04-30 09:27:43+00:00,0,0,1388062500835545091,"He was a great man, I won't argue that, but to say ""there's none like him"" or to hold him up to an unrealistic standard is what this world is most guilty of. It deifies people and then, when normal people can't reach their heights, people feel crap about themselves.",MrCellophane121
14,2021-04-30 09:27:43+00:00,0,0,1388062499522727939,"What Captain Tom did was amazing, but it's no more amazing than some of the other feats going on. He just got latched onto by some people with power who made him famous which he got because he was old and fought in the war and the media exploited that gimmick.

#CaptainTom100",MrCellophane121
15,2021-04-30 08:44:23+00:00,1,1,1388051595208929285,"I wanna learn how to play #DnD #dungeonsanddragons #tabletopgames. I just feel that getting a social life and playing games might be one way to get my mind off my crippling depression, at least for some time.",MrCellophane121
16,2021-04-30 08:41:15+00:00,28,0,1388050807900286976,"@Telegraph Bit hard to focus on sex when you've got crippling debts, an unstable future, a world that only values celebrities and things are only getting worse. Seems like these things can cause serious mental health problems and people can't deal with them because the system is awful.",MrCellophane121
17,2021-04-30 08:37:37+00:00,1,1,1388049890455035906,"@gffcontwitch This might be my new go-to gif when referring to celebrities.

I've been quite fond of this one though https://t.co/mlKxXiHEWv",MrCellophane121
18,2021-04-29 21:49:12+00:00,0,0,1387886710332305410,"@ConanOBrien You don't *have* to but celebs can do literally anything they want so why not? They've already moved in to monopolise other areas, why not politics too?",MrCellophane121
19,2021-04-29 21:46:12+00:00,106,6,1387885958394228739,"@Telegraph Here I was worried about whether I'll ever afford to a house and how financial inequality in this world is creating numerous and serious #mentalhealth problems.

But I'm sure I can sleep better now I know the story behind Kate Middleton's dress.",MrCellophane121
20,2021-04-29 21:16:48+00:00,2,0,1387878556949155846,"In regards to Noel Clarke, maybe we shouldn't treat celebrities like Gods, it seems to go to their heads. Not sure why it would when you're being given money, fame and power for doing very little.",MrCellophane121
21,2021-04-29 11:55:12+00:00,0,0,1387737228214931460,"Happy Anniversary to #DukeandDuchessofCambridge, it must have been a hard few years for you, how do you make it work when you're both always at work. The pandemic must have hit you hard financially too. How are your kids going to cope with such an uncertain future? #sarcasm",MrCellophane121
22,2021-04-29 11:40:05+00:00,0,0,1387733421468835846,"#StudentsDeserveBetter but don't worry because life just gets shittier after graduation. No jobs, no housing, no nothing unless you were born into money and/or connections.",MrCellophane121
23,2021-04-29 11:38:23+00:00,0,0,1387732993024925696,"And I'm not against either Oprah or Elliot, I'm against the idea that people don't get breaks because celebrities monopolise jobs and don't give anybody the chance to get those ""big scoops"" that could literally make their career go from 0 to 100.",MrCellophane121
24,2021-04-29 11:37:32+00:00,0,0,1387732780155645954,"I'm a little disappointed in Elliot Page. He could've given that interview to so many other people, including LGBTQ+ wannabe-journalists but instead decides to funnel more money into Oprah's pockets.

It's disappointing seeing the rich help the rich stay rich.",MrCellophane121
25,2021-04-29 10:33:36+00:00,0,0,1387716692294385664,"Holly and Phil getting emotional over other people's money troubles is so fake. If they actually cared they wouldn't hoard money like dragons.

Then again all celebs do it, because they don't care if the people beneath them live or die.

#ThisMorning",MrCellophane121
26,2021-04-29 10:13:00+00:00,0,0,1387711509086801920,"@Matthew52758009 And this is the main focus of my depression. I can't just accept that as the norm and be like ""Oh well, that's life"" like most people can.

I would rather not exist in that world because it's so corrupt and unfair.",MrCellophane121
27,2021-04-29 09:18:41+00:00,0,0,1387697836553297924,"@TwitterBusiness Sadly Twitter, and the Twitter-verse don't care for people struggling. All they care about is celebs.

I say this as somebody who asked for help when trying to improve my own career prospects and got told to ""stop whining and live your shitty life"".",MrCellophane121
28,2021-04-29 09:16:21+00:00,0,0,1387697253209493504,"@Matthew52758009 The sad thing is that turning off the TV wouldn't solve anything. Financial inequality is still one of the main causes of mental health problems and it needs to be brought to people's attention, especially while we have people hoarding millions and billions.",MrCellophane121
29,2021-04-29 09:10:17+00:00,0,0,1387695722833883138,@readingtheend Celebrity? CEO? Just any millionaire/billionaire really because once you start hoarding more money than you need you're really saying that you don't care if people below you live or die as long as you've got lots of money and fame.,MrCellophane121
30,2021-04-29 09:06:53+00:00,0,0,1387694867384619012,"More awards season stuff for #Lorraine. This time it's #BAFTAS

Turns out she really doesn't care that this negatively affects people's #mentalhealth. All she cares about is her paycheque. To hell with people killing themselves because of financial inequality.",MrCellophane121
31,2021-04-29 09:05:02+00:00,0,0,1387694405176500226,"#TweetASmallBiz 

This is what Twitter SHOULD be used for.

So many people tweeting about Rihanna, Beyoncé or Kanye's businesses and not enough supporting each other.

Especially when celebs wouldn't give a shit if your business failed, or even if you lived or died.",MrCellophane121
32,2021-04-28 22:08:50+00:00,0,0,1387529264220844032,Yay #firstdateshotel is trending. Another show that didn't even get back to me because I'm frankly not important in this world.,MrCellophane121
33,2021-04-28 21:38:03+00:00,0,0,1387521517618073604,"@BuzzFeed And here's one of the kickers, you're not even going to care because I'm not famous.

How's that for life being total shit?",MrCellophane121
34,2021-04-28 21:33:23+00:00,0,0,1387520343338852352,"@BuzzFeed And trust me, I've tried to use ""The Power of Twitter"" to improve my career prospects (so I don't end up homeless or worse) and it doesn't work.

Most people just ignore me because I'm not important in this world, especially not to big-shot celebs.",MrCellophane121
35,2021-04-28 21:32:00+00:00,0,0,1387519997665234948,@Matthew52758009 Sadly I can't just keep removing things that annoy me or I'll end up just staring at the wall unable to get out of bed.,MrCellophane121
36,2021-04-28 21:31:14+00:00,1,0,1387519801720033281,"@BuzzFeed This is not the power of twitter, this is the fact that you're a huge media company and he's a celeb. The two kind of go hand-in-hand.

If I'd said ""I want to interview Chris Evans"" and it got shared till it got to him and then he said ""Sure."" That would be ""the power of twitter""",MrCellophane121
37,2021-04-28 20:07:48+00:00,0,0,1387498807563362304,"So far today I've seen #TheChase and #Pointless trending. These are two shows I've had to stop or cut back on watching due to being triggers for my depression and #mentalhealth issues.

It's horrible too because I used to LOVE those shows but depression took them from me.",MrCellophane121
38,2021-04-28 14:56:40+00:00,0,0,1387420505339215873,Sometimes I get so paranoid that the world has just put me on Mute.,MrCellophane121
39,2021-04-28 13:39:16+00:00,0,0,1387401028128149508,"It's not.

Ten Years Ago, Ed Balls Tweeted ‘Ed Balls.’ How Is It Still Funny? https://t.co/GFFpTLyTvd",MrCellophane121
40,2021-04-28 13:30:10+00:00,0,0,1387398737526345733,"Yay, we've just done with the overpaid celebrities celebrating themselves with #Oscars and now we've got #BAFTATV #BAFTAS to see yet more celebrities celebrating themselves and how much better they are than us scum beneath them.",MrCellophane121
41,2021-04-28 13:22:38+00:00,0,0,1387396843902996482,"People really are milking this #CaptainTom100 thing.

You know you can help others without having to do it ""in the name of Captain Tom"", right?",MrCellophane121
42,2021-04-28 12:29:08+00:00,0,0,1387383377339338752,"I think I'm going to do a series of YouTube videos on #mentalhealth. Trying to give advice, explaining what the process of therapy and medication is like, and just talking about it.",MrCellophane121
43,2021-04-28 12:01:15+00:00,0,0,1387376360193150978,@alethea502 I just really don't like Logan or Jake Paul.,MrCellophane121
44,2021-04-28 08:30:48+00:00,1,0,1387323398494244864,"#Lorraine since you haven't finished with awards season and you yourself are worth millions, perhaps you might want to recognise this at some point?

You can bang on all you like about bad #mentalhealth but you are one of the causes, whether you like it or not. https://t.co/faLPLTRbxZ",MrCellophane121
45,2021-04-28 08:28:48+00:00,0,0,1387322896658358275,@Faye_Louise_T This is sadly what happens when somebody becomes a celebrity.,MrCellophane121
46,2021-04-28 08:26:03+00:00,0,0,1387322204854132736,I'm not really a fan of Mayweather but I do hope he beats the living shit out of Logan Paul.,MrCellophane121
47,2021-04-28 08:24:04+00:00,0,0,1387321705127989248,"Ed Balls tweets his own name, he gets attention every year on #EdBallsDay.

People actually tweet and ask for help to improve their lives and future prospects and people do...nothing.",MrCellophane121
48,2021-04-28 08:04:35+00:00,0,0,1387316801382531073,@RawbertBeef Self-explanatory,MrCellophane121
49,2021-04-27 21:42:38+00:00,0,0,1387160282066300931,"@mike09875 @theLordeEnjoyer Yeah but before you didn't have it rammed in your face 24/7 and there weren't illusions that you could succeed (YouTube, TikTok etc) that are really just popularity contests designed to  make those who don't succeed feel even shittier.",MrCellophane121
50,2021-04-27 21:40:58+00:00,0,0,1387159866318405638,"You try getting any celeb to acknowledge you, even for a word of support, and here they are just drunk emailing each other and getting jobs from it.

Half the judges don't give a shit about people ""beneath them"" anyway.

#DragRace #DragRaceUK

https://t.co/pjsF7KPiKT",MrCellophane121
51,2021-04-27 21:23:32+00:00,0,0,1387155477172215808,"@enews Thank you for actually giving credit to the stylists. Many people often give solo credit to celebrities, even though there's usually teams of people who do what they can to make one single person look good.",MrCellophane121
52,2021-04-27 21:21:58+00:00,0,0,1387155081087311873,"@ebonyassassin1 Is it?

I'm not going to complain about my physical aches but I already feel like I've wasted most of my life and I'll never be successful and there's not much time left.",MrCellophane121
53,2021-04-27 20:48:09+00:00,0,0,1387146572627120131,"#HappyBirthdayLizzo did you know that whilst you might be earning millions, financial inequality is one of the main reasons for #depression and #anxiety in first world countries.",MrCellophane121
54,2021-04-27 20:44:13+00:00,0,0,1387145584696569857,"And we're told ""just be happy with what you've got"" but there's no way in the world they'd tell millionaire Rihanna to not act and branch out into makeup and clothes and to ""just be happy with what she's got"".

These days you're considered scum if you're not rich and famous.",MrCellophane121
55,2021-04-27 20:44:13+00:00,0,0,1387145583249534986,"There are people who will spend hundreds of dollars on Fenty Beauty products but won't retweet smaller businesses.

This is why there's financial inequality. People like Rihanna can do literally anything while others have to try a thousand times harder for such minor ""success"".",MrCellophane121
56,2021-04-27 20:39:05+00:00,0,0,1387144289650622466,@TMZ @Fox411 Two people eat dinner. That's your story.,MrCellophane121
57,2021-04-27 20:36:51+00:00,1,0,1387143729832734720,"@theLordeEnjoyer 99% of the time they are.

Nepotism and connections are literally all that matter in life anymore.",MrCellophane121
58,2021-04-27 19:51:30+00:00,0,0,1387132315760046081,"It might sound paranoid to you but it's happened to me, people have readily admitted to doing it to get me suspended.

I'd much rather you spoke to me, as a lot of you do, than pretend you're helping by reporting it.

You're not helping, just be aware of that.",MrCellophane121
59,2021-04-27 19:51:29+00:00,0,0,1387132313792917509,"You might think you're helping but all Twitter does is send an email saying ""we care, here are some resources to look at"".

In fact it makes me feel like somebody has gone behind my back and tried to get me kicked off Twitter for talking about my #mentalhealth.",MrCellophane121
60,2021-04-27 19:51:29+00:00,0,0,1387132312433963010,"If you talk about #mentalhealth a lot, like I do, then you'll probably get a ""Twitter Safety Notification"" because somebody has reported your Tweet for containing references to self-harm or suicidal thoughts.

THIS ISN'T HELPFUL.",MrCellophane121
61,2021-04-27 19:48:29+00:00,1,0,1387131559048777737,"@WholesomeMeme What's that like, ""getting help""?

Asking because I've been asking for help for years and absolutely nobody cares. I've even been told I'm not important enough to help.",MrCellophane121
62,2021-04-27 16:59:08+00:00,0,0,1387088937924104203,"#VAXLive; because the only way people will actually give a shit is if celebrities do something.

""People are dying? Meh.""

""Selena Gomez says people are dying?! OMG We have to do something now!""",MrCellophane121
63,2021-04-27 14:23:57+00:00,3,0,1387049884704919557,@thetimes You should probably mention somewhere that financial inequality (and the financial divide) is one of the leading causes of depression and anxiety in first world countries.,MrCellophane121
64,2021-04-27 14:21:31+00:00,4,0,1387049273070559238,"@thetimes As a millennial I'll never be able to move out. I have no future prospects, nobody gives a shit about me (because I don't have a gimmick the media can exploit) and I'm gonna end up homeless.

That's just one of the reasons I don't want to live in this world anymore. It's shit.",MrCellophane121
65,2021-04-27 14:19:40+00:00,0,0,1387048807016267785,"@people You wrote a whole article about a tongue-in-cheek tweet?

No wonder this world has a problem with the deification of celebrities.

They literally breathe and you're ready to write an essay on it like it's some monumental thing.",MrCellophane121
66,2021-04-27 14:14:50+00:00,9,0,1387047590177300488,"@Telegraph And let's not pretend that Kate comes from some hard-up, working-class background. You make it sound like they've been looking after the kids while she works three different jobs just to be able to afford rent.

It's bullshit elitism is what you're pushing here.",MrCellophane121
67,2021-04-27 14:13:50+00:00,27,1,1387047339714437121,"@Telegraph You know financial inequality is one of the main causes of depression and anxiety in first world countries. Institutions like The Royal Family are in part responsible for this.

But let's run another piece that isn't really a piece but is about celebrities so people care.",MrCellophane121
68,2021-04-27 14:10:23+00:00,0,0,1387046472961515524,"#LooseWomen, did you know that by pandering to celebrities and pretending like those beneath you don't exist you are actively hurting people's #mentalhealth?

(Not to mention taking your enormous paycheques and acting like you've earned it/deserve it).",MrCellophane121
69,2021-04-27 14:08:03+00:00,1,1,1387045883812859904,"#LooseWomen interviewing Arg about his weight struggles but couldn't give a toss about anybody who isn't famous.

You know there's loads of people who can't afford weight loss surgery, how about chatting to them about how they cope?",MrCellophane121
70,2021-04-27 14:06:40+00:00,0,0,1387045536012795909,"@cb_038 Money and fame, sadly.",MrCellophane121
71,2021-04-27 13:24:39+00:00,0,0,1387034963069980680,"Seeing things like this pop up on my timeline piss me off.

Not because I don't like Gibi (because I do like her) but it's because she got support and help with her channel when I got absolutely nothing.

It's made her life better whereas my life is shit and worthless. https://t.co/vOxYgfoeVs",MrCellophane121
72,2021-04-27 13:03:41+00:00,0,0,1387029684983042050,"Captain Tom's fame is an example of what people can do for other people, if only people cared. As it goes people really only care about celebrities, children, old people and animals. If you don't fit those categories you're pretty much invisible. #CaptainTom100",MrCellophane121
73,2021-04-27 13:00:23+00:00,0,0,1387028854821244934,"@BuzzFeed Buzzfeed, you are aware that one of the main causes of depression and anxiety in first world countries is major financial inequality.

This is literally an example of said inequality.",MrCellophane121
74,2021-04-27 11:44:43+00:00,0,0,1387009813733908480,"#17vsNow

17 vs Now https://t.co/pEFRDGucrL",MrCellophane121
